json_file,audio_file,id_person,type,audio_duration_seconds,audio_size_bytes
comp-result_26881/files/audio_missing_utopia_bbbb_1779173663003.json,bbbb_audio_missing_utopia_1779173663003.webm,bbbb,audio_missing_utopia,7.781,203444
comp-result_26881/files/audio_ranking_explanation_bbbb_1779173647432.json,bbbb_audio_ranking_explanation_1779173647432.webm,bbbb,audio_ranking_explanation,8.637,239183
comp-result_26882/files/audio_missing_utopia_cc33_1779175920347.json,cc33_audio_missing_utopia_1779175920347.webm,cc33,audio_missing_utopia,3.244,81791
comp-result_26882/files/audio_ranking_explanation_cc33_1779175914973.json,cc33_audio_ranking_explanation_1779175914973.webm,cc33,audio_ranking_explanation,3.555,97640
comp-result_26883/files/audio_missing_utopia_111_1779276727208.json,111_audio_missing_utopia_1779276727208.webm,111,audio_missing_utopia,2.735,45543
comp-result_26883/files/audio_ranking_explanation_111_1779276669249.json,111_audio_ranking_explanation_1779276669249.webm,111,audio_ranking_explanation,2.908,48629
comp-result_26888/files/audio_missing_utopia_111_1779750864225.json,111_audio_missing_utopia_1779750864225.webm,111,audio_missing_utopia,58.049,934450
comp-result_26888/files/audio_ranking_explanation_111_1779750598029.json,111_audio_ranking_explanation_1779750598029.webm,111,audio_ranking_explanation,47.496,764434
comp-result_27031/files/audio_missing_utopia_111_1779758141170.json,111_audio_missing_utopia_1779758141170.webm,111,audio_missing_utopia,54.549,877456
comp-result_27031/files/audio_ranking_explanation_111_1779758002525.json,111_audio_ranking_explanation_1779758002525.webm,111,audio_ranking_explanation,36.354,584758
