audio_file,transcript_file,transcript_length,processing_time_seconds
111_audio_missing_utopia_1779276727208.webm,111_audio_missing_utopia_1779276727208_transcript.json,7,4.952021
111_audio_missing_utopia_1779750864225.webm,111_audio_missing_utopia_1779750864225_transcript.json,588,13.124108
111_audio_missing_utopia_1779758141170.webm,111_audio_missing_utopia_1779758141170_transcript.json,512,10.117469
111_audio_ranking_explanation_1779276669249.webm,111_audio_ranking_explanation_1779276669249_transcript.json,5,4.311257
111_audio_ranking_explanation_1779750598029.webm,111_audio_ranking_explanation_1779750598029_transcript.json,368,9.466963
111_audio_ranking_explanation_1779758002525.webm,111_audio_ranking_explanation_1779758002525_transcript.json,277,8.37776
bbbb_audio_missing_utopia_1779173663003.webm,bbbb_audio_missing_utopia_1779173663003_transcript.json,99,4.985619
bbbb_audio_ranking_explanation_1779173647432.webm,bbbb_audio_ranking_explanation_1779173647432_transcript.json,46,4.711552
cc33_audio_missing_utopia_1779175920347.webm,cc33_audio_missing_utopia_1779175920347_transcript.json,38,4.717851
cc33_audio_ranking_explanation_1779175914973.webm,cc33_audio_ranking_explanation_1779175914973_transcript.json,31,4.874741
