audio_file,transcript_file,transcript_length,processing_time_seconds
699ea1c2d6cea42a4be1baad_audio_missing_utopia_1780184299958.webm,699ea1c2d6cea42a4be1baad_audio_missing_utopia_1780184299958_transcript.json,192,5.746938
699ea1c2d6cea42a4be1baad_audio_ranking_explanation_1780184247777.webm,699ea1c2d6cea42a4be1baad_audio_ranking_explanation_1780184247777_transcript.json,527,15.206489
69a46403d8ee3370aefc523f_audio_missing_utopia_1780201432923.webm,69a46403d8ee3370aefc523f_audio_missing_utopia_1780201432923_transcript.json,168,5.991524
69a46403d8ee3370aefc523f_audio_ranking_explanation_1780201405785.webm,69a46403d8ee3370aefc523f_audio_ranking_explanation_1780201405785_transcript.json,415,9.918071
69a4b67351c86f1665010c28_audio_missing_utopia_1780198955309.webm,69a4b67351c86f1665010c28_audio_missing_utopia_1780198955309_transcript.json,123,5.218667
69a4b67351c86f1665010c28_audio_ranking_explanation_1780198827616.webm,69a4b67351c86f1665010c28_audio_ranking_explanation_1780198827616_transcript.json,228,5.824451
69a89c0955605fb10a4fff5e_audio_ranking_explanation_1780168460912.webm,69a89c0955605fb10a4fff5e_audio_ranking_explanation_1780168460912_transcript.json,66,4.846662
69b2fc05f91b3889d80e9d4f_audio_ranking_explanation_1780209516878.webm,69b2fc05f91b3889d80e9d4f_audio_ranking_explanation_1780209516878_transcript.json,1336,22.587736
69b34be60a7d5e72daf5d5c0_audio_missing_utopia_1780187565731.webm,69b34be60a7d5e72daf5d5c0_audio_missing_utopia_1780187565731_transcript.json,1026,16.616004
69b34be60a7d5e72daf5d5c0_audio_ranking_explanation_1780187492769.webm,69b34be60a7d5e72daf5d5c0_audio_ranking_explanation_1780187492769_transcript.json,2584,34.435697
69befc993638fae95321d387_audio_missing_utopia_1780174909931.webm,69befc993638fae95321d387_audio_missing_utopia_1780174909931_transcript.json,351,8.796112
69befc993638fae95321d387_audio_ranking_explanation_1780174847991.webm,69befc993638fae95321d387_audio_ranking_explanation_1780174847991_transcript.json,460,11.715052
69c1697f0df8e94cfb806f7a_audio_missing_utopia_1780166191739.webm,69c1697f0df8e94cfb806f7a_audio_missing_utopia_1780166191739_transcript.json,239,5.862264
69c1697f0df8e94cfb806f7a_audio_ranking_explanation_1780166155474.webm,69c1697f0df8e94cfb806f7a_audio_ranking_explanation_1780166155474_transcript.json,336,8.750041
69c22b2562a236eed8f9c1e1_audio_missing_utopia_1780181389351.webm,69c22b2562a236eed8f9c1e1_audio_missing_utopia_1780181389351_transcript.json,468,10.003091
69c22b2562a236eed8f9c1e1_audio_ranking_explanation_1780181331295.webm,69c22b2562a236eed8f9c1e1_audio_ranking_explanation_1780181331295_transcript.json,241,6.262087
69cb8bf56b4681853352046a_audio_missing_utopia_1780190061761.webm,69cb8bf56b4681853352046a_audio_missing_utopia_1780190061761_transcript.json,834,18.631008
69cb8bf56b4681853352046a_audio_ranking_explanation_1780189962641.webm,69cb8bf56b4681853352046a_audio_ranking_explanation_1780189962641_transcript.json,755,14.737289
69e39e2d7c072270cb7e0b21_audio_missing_utopia_1780184891265.webm,69e39e2d7c072270cb7e0b21_audio_missing_utopia_1780184891265_transcript.json,390,9.798254
69e39e2d7c072270cb7e0b21_audio_ranking_explanation_1780184833112.webm,69e39e2d7c072270cb7e0b21_audio_ranking_explanation_1780184833112_transcript.json,756,17.665493
