audio_file,transcript_file,transcript_length,processing_time_seconds
111_audio_missing_utopia_1779276727208.webm,111_audio_missing_utopia_1779276727208_transcript.json,7,4.396537
111_audio_missing_utopia_1779750864225.webm,111_audio_missing_utopia_1779750864225_transcript.json,588,12.987837
111_audio_missing_utopia_1779758141170.webm,111_audio_missing_utopia_1779758141170_transcript.json,512,10.252491
111_audio_ranking_explanation_1779276669249.webm,111_audio_ranking_explanation_1779276669249_transcript.json,5,4.233756
111_audio_ranking_explanation_1779750598029.webm,111_audio_ranking_explanation_1779750598029_transcript.json,368,9.058082
111_audio_ranking_explanation_1779758002525.webm,111_audio_ranking_explanation_1779758002525_transcript.json,277,8.454274
bbbb_audio_missing_utopia_1779173663003.webm,bbbb_audio_missing_utopia_1779173663003_transcript.json,99,5.242396
bbbb_audio_ranking_explanation_1779173647432.webm,bbbb_audio_ranking_explanation_1779173647432_transcript.json,46,4.997968
cc33_audio_missing_utopia_1779175920347.webm,cc33_audio_missing_utopia_1779175920347_transcript.json,38,4.936557
cc33_audio_ranking_explanation_1779175914973.webm,cc33_audio_ranking_explanation_1779175914973_transcript.json,31,4.935844
