audio_file,transcript_file,transcript_length,processing_time_seconds
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript.json,377,8.182258
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript.json,881,15.152841
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465.webm,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript.json,458,10.688746
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144.webm,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript.json,1769,26.481058
67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804.webm,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804_transcript.json,356,6.700291
67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284.webm,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284_transcript.json,457,10.05648
673e5fc42cbf961c153d09d3_audio_missing_utopia_1780154055552.webm,673e5fc42cbf961c153d09d3_audio_missing_utopia_1780154055552_transcript.json,664,13.543692
673e5fc42cbf961c153d09d3_audio_ranking_explanation_1780153918926.webm,673e5fc42cbf961c153d09d3_audio_ranking_explanation_1780153918926_transcript.json,2091,38.108181
69c4160ec318cfcd7d4f37a4_audio_missing_utopia_1780153517199.webm,69c4160ec318cfcd7d4f37a4_audio_missing_utopia_1780153517199_transcript.json,883,15.31209
69c4160ec318cfcd7d4f37a4_audio_ranking_explanation_1780153331642.webm,69c4160ec318cfcd7d4f37a4_audio_ranking_explanation_1780153331642_transcript.json,1804,27.23355
69e91fd1a613772e648e565a_audio_missing_utopia_1780153851261.webm,69e91fd1a613772e648e565a_audio_missing_utopia_1780153851261_transcript.json,330,8.550375
69e91fd1a613772e648e565a_audio_ranking_explanation_1780153689923.webm,69e91fd1a613772e648e565a_audio_ranking_explanation_1780153689923_transcript.json,963,18.198383
69fe9e67a20599144f688b50_audio_missing_utopia_1780153147993.webm,69fe9e67a20599144f688b50_audio_missing_utopia_1780153147993_transcript.json,590,13.000087
69fe9e67a20599144f688b50_audio_ranking_explanation_1780153014058.webm,69fe9e67a20599144f688b50_audio_ranking_explanation_1780153014058_transcript.json,1788,29.526479
6a08b810d807f5805aabe02e_audio_missing_utopia_1780152771053.webm,6a08b810d807f5805aabe02e_audio_missing_utopia_1780152771053_transcript.json,1208,18.041274
6a08b810d807f5805aabe02e_audio_ranking_explanation_1780152676536.webm,6a08b810d807f5805aabe02e_audio_ranking_explanation_1780152676536_transcript.json,3354,50.411956
