audio_file,transcript_file,transcript_length,processing_time_seconds
58a1fe40ea3d11000170d9b9_audio_missing_utopia_1780400221117.webm,58a1fe40ea3d11000170d9b9_audio_missing_utopia_1780400221117_transcript.json,456,10.014713
58a1fe40ea3d11000170d9b9_audio_ranking_explanation_1780400149878.webm,58a1fe40ea3d11000170d9b9_audio_ranking_explanation_1780400149878_transcript.json,1221,20.755131
5a2f1f0f2937000001eae2b1_audio_ranking_explanation_1780412917698.webm,5a2f1f0f2937000001eae2b1_audio_ranking_explanation_1780412917698_transcript.json,11,4.638751
5a947fb0f05361000171b5a3_audio_missing_utopia_1780410641934.webm,5a947fb0f05361000171b5a3_audio_missing_utopia_1780410641934_transcript.json,670,13.70026
5a947fb0f05361000171b5a3_audio_ranking_explanation_1780410564345.webm,5a947fb0f05361000171b5a3_audio_ranking_explanation_1780410564345_transcript.json,3083,48.6649
5b72d3f8afce7600019fe275_audio_missing_utopia_1780413297027.webm,5b72d3f8afce7600019fe275_audio_missing_utopia_1780413297027_transcript.json,422,9.6882
5b72d3f8afce7600019fe275_audio_ranking_explanation_1780413249127.webm,5b72d3f8afce7600019fe275_audio_ranking_explanation_1780413249127_transcript.json,918,15.181905
5bdfb648484288000130dad0_audio_missing_utopia_1780407816205.webm,5bdfb648484288000130dad0_audio_missing_utopia_1780407816205_transcript.json,613,10.945992
5bdfb648484288000130dad0_audio_ranking_explanation_1780407712893.webm,5bdfb648484288000130dad0_audio_ranking_explanation_1780407712893_transcript.json,818,13.405609
5c04872c55614800012b7cf0_audio_missing_utopia_1780402801135.webm,5c04872c55614800012b7cf0_audio_missing_utopia_1780402801135_transcript.json,594,10.551937
5c04872c55614800012b7cf0_audio_ranking_explanation_1780402729049.webm,5c04872c55614800012b7cf0_audio_ranking_explanation_1780402729049_transcript.json,1436,24.998303
5c40e28ffe87360001a5677e_audio_missing_utopia_1780408626900.webm,5c40e28ffe87360001a5677e_audio_missing_utopia_1780408626900_transcript.json,390,9.384486
5c40e28ffe87360001a5677e_audio_ranking_explanation_1780408580755.webm,5c40e28ffe87360001a5677e_audio_ranking_explanation_1780408580755_transcript.json,373,6.893759
5c84ed7d4b0de20019350e1e_audio_missing_utopia_1780454884055.webm,5c84ed7d4b0de20019350e1e_audio_missing_utopia_1780454884055_transcript.json,452,9.564613
5c84ed7d4b0de20019350e1e_audio_ranking_explanation_1780454834907.webm,5c84ed7d4b0de20019350e1e_audio_ranking_explanation_1780454834907_transcript.json,532,10.307588
5d453e8723a5bb0001492546_audio_missing_utopia_1780342176357.webm,5d453e8723a5bb0001492546_audio_missing_utopia_1780342176357_transcript.json,1710,29.916305
5d453e8723a5bb0001492546_audio_ranking_explanation_1780341976945.webm,5d453e8723a5bb0001492546_audio_ranking_explanation_1780341976945_transcript.json,4665,75.506006
5dad4c34b3446a0015e3de93_audio_missing_utopia_1780231356650.webm,5dad4c34b3446a0015e3de93_audio_missing_utopia_1780231356650_transcript.json,237,5.965583
5dad4c34b3446a0015e3de93_audio_ranking_explanation_1780231322251.webm,5dad4c34b3446a0015e3de93_audio_ranking_explanation_1780231322251_transcript.json,1112,21.317537
5e6439d24659d01c218bcbc9_audio_missing_utopia_1780404719918.webm,5e6439d24659d01c218bcbc9_audio_missing_utopia_1780404719918_transcript.json,504,13.50337
5e6439d24659d01c218bcbc9_audio_ranking_explanation_1780404675067.webm,5e6439d24659d01c218bcbc9_audio_ranking_explanation_1780404675067_transcript.json,942,15.835416
5eeebe538b23c013d8843b85_audio_missing_utopia_1780523652246.webm,5eeebe538b23c013d8843b85_audio_missing_utopia_1780523652246_transcript.json,1047,20.825084
5eeebe538b23c013d8843b85_audio_ranking_explanation_1780523315956.webm,5eeebe538b23c013d8843b85_audio_ranking_explanation_1780523315956_transcript.json,1971,34.205339
5f494c1ba043204912fb6be1_audio_missing_utopia_1780411709506.webm,5f494c1ba043204912fb6be1_audio_missing_utopia_1780411709506_transcript.json,287,8.260445
5f494c1ba043204912fb6be1_audio_ranking_explanation_1780411648798.webm,5f494c1ba043204912fb6be1_audio_ranking_explanation_1780411648798_transcript.json,420,11.808951
5f4a835e9e84256238129995_audio_missing_utopia_1780335774445.webm,5f4a835e9e84256238129995_audio_missing_utopia_1780335774445_transcript.json,151,5.369357
5f4a835e9e84256238129995_audio_ranking_explanation_1780335719107.webm,5f4a835e9e84256238129995_audio_ranking_explanation_1780335719107_transcript.json,385,9.410535
5f50b1bbe29c992335098fb1_audio_missing_utopia_1780403581586.webm,5f50b1bbe29c992335098fb1_audio_missing_utopia_1780403581586_transcript.json,385,9.269136
5f50b1bbe29c992335098fb1_audio_ranking_explanation_1780403514848.webm,5f50b1bbe29c992335098fb1_audio_ranking_explanation_1780403514848_transcript.json,1086,18.623518
5f6cd1061eba7b0de28b704d_audio_missing_utopia_1780244660184.webm,5f6cd1061eba7b0de28b704d_audio_missing_utopia_1780244660184_transcript.json,429,10.056494
5f6cd1061eba7b0de28b704d_audio_ranking_explanation_1780244599518.webm,5f6cd1061eba7b0de28b704d_audio_ranking_explanation_1780244599518_transcript.json,794,14.554463
605b8cf6c07b6842b5cab429_audio_missing_utopia_1780252187197.webm,605b8cf6c07b6842b5cab429_audio_missing_utopia_1780252187197_transcript.json,736,14.260011
605b8cf6c07b6842b5cab429_audio_ranking_explanation_1780252109972.webm,605b8cf6c07b6842b5cab429_audio_ranking_explanation_1780252109972_transcript.json,2046,32.925904
606f9bca353fc36aba9ccb8b_audio_missing_utopia_1780237561802.webm,606f9bca353fc36aba9ccb8b_audio_missing_utopia_1780237561802_transcript.json,165,7.727826
606f9bca353fc36aba9ccb8b_audio_ranking_explanation_1780237517736.webm,606f9bca353fc36aba9ccb8b_audio_ranking_explanation_1780237517736_transcript.json,96,4.987563
60ad344265fa9865ff45c0bf_audio_missing_utopia_1780410238271.webm,60ad344265fa9865ff45c0bf_audio_missing_utopia_1780410238271_transcript.json,1922,29.888046
60ad344265fa9865ff45c0bf_audio_ranking_explanation_1780410076025.webm,60ad344265fa9865ff45c0bf_audio_ranking_explanation_1780410076025_transcript.json,2911,42.141891
60ce89c7357eeffe77fca946_audio_missing_utopia_1780395716370.webm,60ce89c7357eeffe77fca946_audio_missing_utopia_1780395716370_transcript.json,435,10.050341
60ce89c7357eeffe77fca946_audio_ranking_explanation_1780395655822.webm,60ce89c7357eeffe77fca946_audio_ranking_explanation_1780395655822_transcript.json,402,9.374413
60fec0bdae6ef40674a8a77a_audio_missing_utopia_1780408885981.webm,60fec0bdae6ef40674a8a77a_audio_missing_utopia_1780408885981_transcript.json,789,14.815237
60fec0bdae6ef40674a8a77a_audio_ranking_explanation_1780408808940.webm,60fec0bdae6ef40674a8a77a_audio_ranking_explanation_1780408808940_transcript.json,2150,33.831342
60ffc4070d4285f4d85199b7_audio_missing_utopia_1780411916833.webm,60ffc4070d4285f4d85199b7_audio_missing_utopia_1780411916833_transcript.json,1051,18.560908
60ffc4070d4285f4d85199b7_audio_ranking_explanation_1780411810495.webm,60ffc4070d4285f4d85199b7_audio_ranking_explanation_1780411810495_transcript.json,1388,23.148562
610845efa0dd9c9da496039e_audio_ranking_explanation_1780329938809.webm,610845efa0dd9c9da496039e_audio_ranking_explanation_1780329938809_transcript.json,44,11.818459
61097e0464a4a922602d495b_audio_missing_utopia_1780406939510.webm,61097e0464a4a922602d495b_audio_missing_utopia_1780406939510_transcript.json,665,13.392639
61097e0464a4a922602d495b_audio_ranking_explanation_1780406851105.webm,61097e0464a4a922602d495b_audio_ranking_explanation_1780406851105_transcript.json,758,14.038728
61338374ecef87bfdfd1c7bb_audio_missing_utopia_1780398149125.webm,61338374ecef87bfdfd1c7bb_audio_missing_utopia_1780398149125_transcript.json,852,17.075883
61338374ecef87bfdfd1c7bb_audio_ranking_explanation_1780398047278.webm,61338374ecef87bfdfd1c7bb_audio_ranking_explanation_1780398047278_transcript.json,1430,26.849947
615509a589a34f7cb9fb075f_audio_missing_utopia_1780406694980.webm,615509a589a34f7cb9fb075f_audio_missing_utopia_1780406694980_transcript.json,251,5.920133
615509a589a34f7cb9fb075f_audio_ranking_explanation_1780406666022.webm,615509a589a34f7cb9fb075f_audio_ranking_explanation_1780406666022_transcript.json,345,7.565559
61647de75314468d5cb57f93_audio_missing_utopia_1780380868523.webm,61647de75314468d5cb57f93_audio_missing_utopia_1780380868523_transcript.json,275,6.082722
61647de75314468d5cb57f93_audio_ranking_explanation_1780380793527.webm,61647de75314468d5cb57f93_audio_ranking_explanation_1780380793527_transcript.json,290,8.676366
627a65a2439f59544115d476_audio_missing_utopia_1780406248409.webm,627a65a2439f59544115d476_audio_missing_utopia_1780406248409_transcript.json,175,5.960932
627a65a2439f59544115d476_audio_ranking_explanation_1780406199344.webm,627a65a2439f59544115d476_audio_ranking_explanation_1780406199344_transcript.json,394,9.181091
6296bef3248bf76cc113926b_audio_missing_utopia_1780385579567.webm,6296bef3248bf76cc113926b_audio_missing_utopia_1780385579567_transcript.json,580,10.435839
6296bef3248bf76cc113926b_audio_ranking_explanation_1780385490951.webm,6296bef3248bf76cc113926b_audio_ranking_explanation_1780385490951_transcript.json,665,11.407352
62effa539a08b7896593d694_audio_missing_utopia_1780409743841.webm,62effa539a08b7896593d694_audio_missing_utopia_1780409743841_transcript.json,761,14.802302
62effa539a08b7896593d694_audio_ranking_explanation_1780409598788.webm,62effa539a08b7896593d694_audio_ranking_explanation_1780409598788_transcript.json,2543,41.217139
634865f77fe29563ec6f621c_audio_missing_utopia_1780409418411.webm,634865f77fe29563ec6f621c_audio_missing_utopia_1780409418411_transcript.json,510,12.265282
634865f77fe29563ec6f621c_audio_ranking_explanation_1780409360672.webm,634865f77fe29563ec6f621c_audio_ranking_explanation_1780409360672_transcript.json,1024,18.923376
63b6be1516a2c70bb43fbccd_audio_missing_utopia_1780398924597.webm,63b6be1516a2c70bb43fbccd_audio_missing_utopia_1780398924597_transcript.json,1464,24.842153
63b6be1516a2c70bb43fbccd_audio_ranking_explanation_1780398780725.webm,63b6be1516a2c70bb43fbccd_audio_ranking_explanation_1780398780725_transcript.json,1659,28.330589
63bc87f783afb5aed2c937d2_audio_missing_utopia_1780314625145.webm,63bc87f783afb5aed2c937d2_audio_missing_utopia_1780314625145_transcript.json,502,10.175843
63bc87f783afb5aed2c937d2_audio_ranking_explanation_1780314510356.webm,63bc87f783afb5aed2c937d2_audio_ranking_explanation_1780314510356_transcript.json,802,15.616811
63d7fb6ee49281f6c41d6630_audio_missing_utopia_1780382087730.webm,63d7fb6ee49281f6c41d6630_audio_missing_utopia_1780382087730_transcript.json,591,10.989856
63d7fb6ee49281f6c41d6630_audio_ranking_explanation_1780382023312.webm,63d7fb6ee49281f6c41d6630_audio_ranking_explanation_1780382023312_transcript.json,1178,22.12943
63e51bdade16b861346088b4_audio_missing_utopia_1780408946268.webm,63e51bdade16b861346088b4_audio_missing_utopia_1780408946268_transcript.json,667,11.368908
63e51bdade16b861346088b4_audio_ranking_explanation_1780408878048.webm,63e51bdade16b861346088b4_audio_ranking_explanation_1780408878048_transcript.json,3299,48.054927
6400db77211380d3116572fc_audio_missing_utopia_1780441662829.webm,6400db77211380d3116572fc_audio_missing_utopia_1780441662829_transcript.json,1653,25.201313
6400db77211380d3116572fc_audio_ranking_explanation_1780441496310.webm,6400db77211380d3116572fc_audio_ranking_explanation_1780441496310_transcript.json,4413,65.980023
6413ba814d48703a89b5ee31_audio_missing_utopia_1780408752925.webm,6413ba814d48703a89b5ee31_audio_missing_utopia_1780408752925_transcript.json,392,9.071951
6413ba814d48703a89b5ee31_audio_ranking_explanation_1780408625136.webm,6413ba814d48703a89b5ee31_audio_ranking_explanation_1780408625136_transcript.json,657,11.321242
6547a05ca3b182bd3f2d9af8_audio_missing_utopia_1780406898006.webm,6547a05ca3b182bd3f2d9af8_audio_missing_utopia_1780406898006_transcript.json,395,11.870374
6547a05ca3b182bd3f2d9af8_audio_ranking_explanation_1780406823871.webm,6547a05ca3b182bd3f2d9af8_audio_ranking_explanation_1780406823871_transcript.json,2217,39.590324
655f9bb3070d42d4bc67e866_audio_missing_utopia_1780389656481.webm,655f9bb3070d42d4bc67e866_audio_missing_utopia_1780389656481_transcript.json,207,7.957804
655f9bb3070d42d4bc67e866_audio_ranking_explanation_1780389614496.webm,655f9bb3070d42d4bc67e866_audio_ranking_explanation_1780389614496_transcript.json,142,5.245309
65e6edd1a876f1d8487f379b_audio_missing_utopia_1780378764659.webm,65e6edd1a876f1d8487f379b_audio_missing_utopia_1780378764659_transcript.json,420,9.446081
65e6edd1a876f1d8487f379b_audio_ranking_explanation_1780378701073.webm,65e6edd1a876f1d8487f379b_audio_ranking_explanation_1780378701073_transcript.json,410,9.699445
65f1d783d4cbe20c636b813c_audio_missing_utopia_1780420673697.webm,65f1d783d4cbe20c636b813c_audio_missing_utopia_1780420673697_transcript.json,58,4.791231
65f1d783d4cbe20c636b813c_audio_ranking_explanation_1780420663989.webm,65f1d783d4cbe20c636b813c_audio_ranking_explanation_1780420663989_transcript.json,78,4.689205
65f4ab7884f8411c9e11a34e_audio_missing_utopia_1780427931890.webm,65f4ab7884f8411c9e11a34e_audio_missing_utopia_1780427931890_transcript.json,1134,22.079381
65f4ab7884f8411c9e11a34e_audio_ranking_explanation_1780427716973.webm,65f4ab7884f8411c9e11a34e_audio_ranking_explanation_1780427716973_transcript.json,2581,39.914576
6623d91f14f7871134e8ad01_audio_missing_utopia_1780271611323.webm,6623d91f14f7871134e8ad01_audio_missing_utopia_1780271611323_transcript.json,135,5.899085
6623d91f14f7871134e8ad01_audio_ranking_explanation_1780271581671.webm,6623d91f14f7871134e8ad01_audio_ranking_explanation_1780271581671_transcript.json,447,10.018488
663cceb7909a43d4d01e0c24_audio_missing_utopia_1780422956642.webm,663cceb7909a43d4d01e0c24_audio_missing_utopia_1780422956642_transcript.json,222,6.054152
663cceb7909a43d4d01e0c24_audio_ranking_explanation_1780422702177.webm,663cceb7909a43d4d01e0c24_audio_ranking_explanation_1780422702177_transcript.json,271,8.482058
663ff8ce62a847c71db3e8e6_audio_missing_utopia_1780405161414.webm,663ff8ce62a847c71db3e8e6_audio_missing_utopia_1780405161414_transcript.json,2585,39.358679
663ff8ce62a847c71db3e8e6_audio_ranking_explanation_1780405042895.webm,663ff8ce62a847c71db3e8e6_audio_ranking_explanation_1780405042895_transcript.json,2275,34.345406
6644a91c5e71bd18d4ae8c26_audio_missing_utopia_1780235909617.webm,6644a91c5e71bd18d4ae8c26_audio_missing_utopia_1780235909617_transcript.json,309,8.3335
6644a91c5e71bd18d4ae8c26_audio_ranking_explanation_1780235862083.webm,6644a91c5e71bd18d4ae8c26_audio_ranking_explanation_1780235862083_transcript.json,475,10.021712
664bc61062c2afbacbb5f2f8_audio_missing_utopia_1780402345846.webm,664bc61062c2afbacbb5f2f8_audio_missing_utopia_1780402345846_transcript.json,359,6.980048
664bc61062c2afbacbb5f2f8_audio_ranking_explanation_1780402298820.webm,664bc61062c2afbacbb5f2f8_audio_ranking_explanation_1780402298820_transcript.json,1583,24.495192
665cc37706c5e959d6f680a3_audio_missing_utopia_1780424098086.webm,665cc37706c5e959d6f680a3_audio_missing_utopia_1780424098086_transcript.json,448,9.257356
