json_file,audio_file,id_person,type,audio_duration_seconds,audio_size_bytes
comp-result_27159/files/audio_ranking_explanation_6a1731c7cd92b077b3532875_1780167797563.json,6a1731c7cd92b077b3532875_audio_ranking_explanation_1780167797563.webm,6a1731c7cd92b077b3532875,audio_ranking_explanation,165.562,2679843
comp-result_27160/files/audio_missing_utopia_69fce5f3543a5fb23a96fd38_1780169406603.json,69fce5f3543a5fb23a96fd38_audio_missing_utopia_1780169406603.webm,69fce5f3543a5fb23a96fd38,audio_missing_utopia,82.369,1325712
comp-result_27160/files/audio_ranking_explanation_69fce5f3543a5fb23a96fd38_1780169282539.json,69fce5f3543a5fb23a96fd38_audio_ranking_explanation_1780169282539.webm,69fce5f3543a5fb23a96fd38,audio_ranking_explanation,43.802,704542
comp-result_27161/files/audio_missing_utopia_6a037281ac6ad91fede2d14d_1780169839800.json,6a037281ac6ad91fede2d14d_audio_missing_utopia_1780169839800.webm,6a037281ac6ad91fede2d14d,audio_missing_utopia,10.938,176108
comp-result_27161/files/audio_ranking_explanation_6a037281ac6ad91fede2d14d_1780169772339.json,6a037281ac6ad91fede2d14d_audio_ranking_explanation_1780169772339.webm,6a037281ac6ad91fede2d14d,audio_ranking_explanation,56.473,909334
comp-result_27162/files/audio_missing_utopia_6a1a3233ce9bfe00996eea1a_1780169649761.json,6a1a3233ce9bfe00996eea1a_audio_missing_utopia_1780169649761.webm,6a1a3233ce9bfe00996eea1a,audio_missing_utopia,40.526,652378
comp-result_27162/files/audio_ranking_explanation_6a1a3233ce9bfe00996eea1a_1780169464066.json,6a1a3233ce9bfe00996eea1a_audio_ranking_explanation_1780169464066.webm,6a1a3233ce9bfe00996eea1a,audio_ranking_explanation,137.254,2209670
comp-result_27164/files/audio_missing_utopia_69f45c14285f90281ed9122f_1780171289731.json,69f45c14285f90281ed9122f_audio_missing_utopia_1780171289731.webm,69f45c14285f90281ed9122f,audio_missing_utopia,45.436,731590
comp-result_27164/files/audio_ranking_explanation_69f45c14285f90281ed9122f_1780171225250.json,69f45c14285f90281ed9122f_audio_ranking_explanation_1780171225250.webm,69f45c14285f90281ed9122f,audio_ranking_explanation,128.712,2072498
comp-result_27165/files/audio_missing_utopia_6a0ccfac62d36e0c006f5a90_1780172285336.json,6a0ccfac62d36e0c006f5a90_audio_missing_utopia_1780172285336.webm,6a0ccfac62d36e0c006f5a90,audio_missing_utopia,29.677,477500
comp-result_27165/files/audio_ranking_explanation_6a0ccfac62d36e0c006f5a90_1780172168633.json,6a0ccfac62d36e0c006f5a90_audio_ranking_explanation_1780172168633.webm,6a0ccfac62d36e0c006f5a90,audio_ranking_explanation,131.441,2115968
comp-result_27166/files/audio_missing_utopia_672012673e8f6646800bf45c_1780172365370.json,672012673e8f6646800bf45c_audio_missing_utopia_1780172365370.webm,672012673e8f6646800bf45c,audio_missing_utopia,47.794,769264
comp-result_27166/files/audio_ranking_explanation_672012673e8f6646800bf45c_1780172300521.json,672012673e8f6646800bf45c_audio_ranking_explanation_1780172300521.webm,672012673e8f6646800bf45c,audio_ranking_explanation,129.39,2083124
comp-result_27167/files/audio_missing_utopia_6a15dd57b7e983803cba4517_1780173865752.json,6a15dd57b7e983803cba4517_audio_missing_utopia_1780173865752.webm,6a15dd57b7e983803cba4517,audio_missing_utopia,18.934,304586
