"metric","value"
"starting_total_records","28014"
"incomplete_ids","1 // 2 // 10 // 13 // 15 // 20 // 29 // 45 // 46 // 53 // 55 // 66 // 71 // 73 // 74 // 77 // 87 // 90 // 93 // 95 // 100 // 102 // 104 // 107 // 112 // 117 // 120 // 126 // 130 // 132 // 138 // 148 // 149 // 150 // 154 // 155 // 156 // 167 // 168 // 169 // 180 // 181 // 184 // 188 // 190 // 191 // 194 // 197 // 199 // 201 // 202 // 205 // 207 // 208 // 224 // 232 // 238 // 239 // 241 // 243 // 244 // 252 // 258 // 278 // 280 // 284 // 290 // 294 // 298 // 299 // 302 // 303 // 306 // 307 // 311 // 312 // 327 // 330 // 334 // 338 // 340 // 342 // 344 // 358 // 359 // 364 // 366 // 369 // 371 // 373 // 376 // 388 // 398 // 401 // 410 // 416 // 419 // 425 // 433 // 443 // 449 // 454 // 457 // 460 // 465 // 466 // 487 // 488 // 489 // 495 // 499 // 501 // 506 // 512 // 520 // 523 // 531 // 535 // 536 // 544 // 548 // 557 // 560 // 562 // 563 // 567 // 578 // 579 // 589 // 597 // 599 // 600 // 601 // 603 // 606 // 611 // 615 // 617 // 618 // 620 // 621 // 624 // 629"
"after_filtering_incomplete_records","25811"
"final_unique_participants","487"
"final_questionnaire_rows","487"
