json_file,audio_file,transcript_length,sentiment_label,sentiment_score,num_windows,embedding_dim,language
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,377,neutral,0.6121746897697449,7,4096,unknown
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,881,positive,0.7338831424713135,16,4096,unknown
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript,5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719.webm,502,neutral,0.644285261631012,9,4096,unknown
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript,5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910.webm,1563,neutral,0.5488770604133606,27,4096,unknown
5b20c0474c72120001f25d90_audio_missing_utopia_1780192544079_transcript,5b20c0474c72120001f25d90_audio_missing_utopia_1780192544079.webm,445,neutral,0.6145040988922119,8,4096,unknown
5b20c0474c72120001f25d90_audio_ranking_explanation_1780192104024_transcript,5b20c0474c72120001f25d90_audio_ranking_explanation_1780192104024.webm,793,neutral,0.6331690549850464,14,4096,unknown
5e0e1b8800a6bf000a694f79_audio_missing_utopia_1780166362837_transcript,5e0e1b8800a6bf000a694f79_audio_missing_utopia_1780166362837.webm,114,neutral,0.8290199041366577,2,4096,unknown
5e0e1b8800a6bf000a694f79_audio_ranking_explanation_1780166335425_transcript,5e0e1b8800a6bf000a694f79_audio_ranking_explanation_1780166335425.webm,668,positive,0.6313340663909912,12,4096,unknown
5e3a8aeedc1d57292aea3f22_audio_missing_utopia_1780162994597_transcript,5e3a8aeedc1d57292aea3f22_audio_missing_utopia_1780162994597.webm,683,negative,0.6407906413078308,12,4096,unknown
5e3a8aeedc1d57292aea3f22_audio_ranking_explanation_1780162912062_transcript,5e3a8aeedc1d57292aea3f22_audio_ranking_explanation_1780162912062.webm,748,neutral,0.5199726223945618,14,4096,unknown
5e7acbd0373d5e0c087a112c_audio_missing_utopia_1780178507534_transcript,5e7acbd0373d5e0c087a112c_audio_missing_utopia_1780178507534.webm,451,neutral,0.6306721568107605,8,4096,unknown
5e7acbd0373d5e0c087a112c_audio_ranking_explanation_1780178450105_transcript,5e7acbd0373d5e0c087a112c_audio_ranking_explanation_1780178450105.webm,519,neutral,0.5232706665992737,8,4096,unknown
5e84f59e965b290c42fad433_audio_missing_utopia_1780167398103_transcript,5e84f59e965b290c42fad433_audio_missing_utopia_1780167398103.webm,415,positive,0.6765143275260925,7,4096,unknown
5e84f59e965b290c42fad433_audio_ranking_explanation_1780167360237_transcript,5e84f59e965b290c42fad433_audio_ranking_explanation_1780167360237.webm,1626,neutral,0.5166742205619812,28,4096,unknown
5f68fdce1c675a0baf13e0ff_audio_missing_utopia_1780156361306_transcript,5f68fdce1c675a0baf13e0ff_audio_missing_utopia_1780156361306.webm,521,negative,0.5037693381309509,9,4096,unknown
5f68fdce1c675a0baf13e0ff_audio_ranking_explanation_1780156269889_transcript,5f68fdce1c675a0baf13e0ff_audio_ranking_explanation_1780156269889.webm,721,negative,0.7332678437232971,14,4096,unknown
60a69e84d2f871b61d608e89_audio_missing_utopia_1780182048203_transcript,60a69e84d2f871b61d608e89_audio_missing_utopia_1780182048203.webm,929,neutral,0.6287349462509155,16,4096,unknown
60a69e84d2f871b61d608e89_audio_ranking_explanation_1780181740748_transcript,60a69e84d2f871b61d608e89_audio_ranking_explanation_1780181740748.webm,1945,neutral,0.7783633470535278,35,4096,unknown
6100949844ff99c54b0e755e_audio_missing_utopia_1780195308057_transcript,6100949844ff99c54b0e755e_audio_missing_utopia_1780195308057.webm,857,neutral,0.6531806588172913,15,4096,unknown
6100949844ff99c54b0e755e_audio_ranking_explanation_1780195122358_transcript,6100949844ff99c54b0e755e_audio_ranking_explanation_1780195122358.webm,3248,positive,0.5926817655563354,61,4096,unknown
63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465.webm,458,neutral,0.5725895762443542,8,4096,unknown
63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144.webm,1769,neutral,0.8126097917556763,32,4096,unknown
661c92bc6f7ab864a9a96633_audio_missing_utopia_1780182623546_transcript,661c92bc6f7ab864a9a96633_audio_missing_utopia_1780182623546.webm,628,negative,0.45920684933662415,12,4096,unknown
661c92bc6f7ab864a9a96633_audio_ranking_explanation_1780182552867_transcript,661c92bc6f7ab864a9a96633_audio_ranking_explanation_1780182552867.webm,479,positive,0.5509834885597229,9,4096,unknown
6641076785a23b3f7db3c5c1_audio_missing_utopia_1780186299882_transcript,6641076785a23b3f7db3c5c1_audio_missing_utopia_1780186299882.webm,656,positive,0.6591188311576843,10,4096,unknown
6641076785a23b3f7db3c5c1_audio_ranking_explanation_1780186224420_transcript,6641076785a23b3f7db3c5c1_audio_ranking_explanation_1780186224420.webm,2647,positive,0.692019522190094,48,4096,unknown
66e9b926c782e4f47a05ec7c_audio_missing_utopia_1780188646013_transcript,66e9b926c782e4f47a05ec7c_audio_missing_utopia_1780188646013.webm,136,neutral,0.63445645570755,2,4096,unknown
66e9b926c782e4f47a05ec7c_audio_ranking_explanation_1780188601687_transcript,66e9b926c782e4f47a05ec7c_audio_ranking_explanation_1780188601687.webm,324,positive,0.7871323227882385,5,4096,unknown
67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804_transcript,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804.webm,356,neutral,0.4628855288028717,5,4096,unknown
67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284_transcript,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284.webm,457,negative,0.7611798048019409,8,4096,unknown
6715b46f9f59f9e05837029a_audio_missing_utopia_1780191431770_transcript,6715b46f9f59f9e05837029a_audio_missing_utopia_1780191431770.webm,232,positive,0.5018568634986877,4,4096,unknown
6715b46f9f59f9e05837029a_audio_ranking_explanation_1780191386549_transcript,6715b46f9f59f9e05837029a_audio_ranking_explanation_1780191386549.webm,325,neutral,0.5342947244644165,5,4096,unknown
671ce7ade7a5cd2edc847b94_audio_missing_utopia_1780191577026_transcript,671ce7ade7a5cd2edc847b94_audio_missing_utopia_1780191577026.webm,168,neutral,0.5863502025604248,3,4096,unknown
671ce7ade7a5cd2edc847b94_audio_ranking_explanation_1780191523519_transcript,671ce7ade7a5cd2edc847b94_audio_ranking_explanation_1780191523519.webm,82,neutral,0.8221861124038696,1,4096,unknown
672012673e8f6646800bf45c_audio_missing_utopia_1780172365370_transcript,672012673e8f6646800bf45c_audio_missing_utopia_1780172365370.webm,478,neutral,0.6380277872085571,9,4096,unknown
