json_file,num_windows,first_window_sentiment,last_window_sentiment,sentiment_change,mean_sentiment,sentiment_volatility,label_changes,trend
111_audio_missing_utopia_1779750864225_transcript,10,0.8144,0.791,-0.0234,0.7664,0.1413,3,Stable →
111_audio_missing_utopia_1779758141170_transcript,9,0.7292,0.7324,0.0032,0.7486,0.1505,3,Stable →
111_audio_ranking_explanation_1779750598029_transcript,7,0.9775,0.8475,-0.13,0.7566,0.1702,3,Negative ↓
