file1,file2,audio1,audio2,cosine_similarity,emotional_tone_similarity
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6100949844ff99c54b0e755e_audio_missing_utopia_1780195308057_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,6100949844ff99c54b0e755e_audio_missing_utopia_1780195308057.webm,0.5593064895447517,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6100949844ff99c54b0e755e_audio_ranking_explanation_1780195122358_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,6100949844ff99c54b0e755e_audio_ranking_explanation_1780195122358.webm,0.6113082722186067,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465.webm,0.4551705152631609,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144.webm,0.5021437745656665,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,661c92bc6f7ab864a9a96633_audio_missing_utopia_1780182623546_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,661c92bc6f7ab864a9a96633_audio_missing_utopia_1780182623546.webm,0.359084068048142,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,661c92bc6f7ab864a9a96633_audio_ranking_explanation_1780182552867_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,661c92bc6f7ab864a9a96633_audio_ranking_explanation_1780182552867.webm,0.5382539290439095,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6641076785a23b3f7db3c5c1_audio_missing_utopia_1780186299882_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,6641076785a23b3f7db3c5c1_audio_missing_utopia_1780186299882.webm,0.43161196416372327,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6641076785a23b3f7db3c5c1_audio_ranking_explanation_1780186224420_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,6641076785a23b3f7db3c5c1_audio_ranking_explanation_1780186224420.webm,0.5718232868965576,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,66e9b926c782e4f47a05ec7c_audio_missing_utopia_1780188646013_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,66e9b926c782e4f47a05ec7c_audio_missing_utopia_1780188646013.webm,0.40003151202683207,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,66e9b926c782e4f47a05ec7c_audio_ranking_explanation_1780188601687_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,66e9b926c782e4f47a05ec7c_audio_ranking_explanation_1780188601687.webm,0.5264901115201849,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804.webm,0.5095872003676215,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284.webm,0.5972086146614437,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6715b46f9f59f9e05837029a_audio_missing_utopia_1780191431770_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,6715b46f9f59f9e05837029a_audio_missing_utopia_1780191431770.webm,0.4249649385162186,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6715b46f9f59f9e05837029a_audio_ranking_explanation_1780191386549_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,6715b46f9f59f9e05837029a_audio_ranking_explanation_1780191386549.webm,0.48383368734497856,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,671ce7ade7a5cd2edc847b94_audio_missing_utopia_1780191577026_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,671ce7ade7a5cd2edc847b94_audio_missing_utopia_1780191577026.webm,0.49637139518157103,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,671ce7ade7a5cd2edc847b94_audio_ranking_explanation_1780191523519_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,671ce7ade7a5cd2edc847b94_audio_ranking_explanation_1780191523519.webm,0.3298780338610138,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,672012673e8f6646800bf45c_audio_missing_utopia_1780172365370_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,672012673e8f6646800bf45c_audio_missing_utopia_1780172365370.webm,0.4597826429395274,Different
