file1,file2,audio1,audio2,cosine_similarity,emotional_tone_similarity
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,0.5996934167005541,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465.webm,0.4551705152631609,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144.webm,0.5021437745656665,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804.webm,0.5095872003676215,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284.webm,0.5972086146614437,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,673e5fc42cbf961c153d09d3_audio_missing_utopia_1780154055552_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,673e5fc42cbf961c153d09d3_audio_missing_utopia_1780154055552.webm,0.45701780517917134,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,673e5fc42cbf961c153d09d3_audio_ranking_explanation_1780153918926_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,673e5fc42cbf961c153d09d3_audio_ranking_explanation_1780153918926.webm,0.5601081765830684,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,69c4160ec318cfcd7d4f37a4_audio_missing_utopia_1780153517199_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,69c4160ec318cfcd7d4f37a4_audio_missing_utopia_1780153517199.webm,0.5726787736269332,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,69c4160ec318cfcd7d4f37a4_audio_ranking_explanation_1780153331642_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,69c4160ec318cfcd7d4f37a4_audio_ranking_explanation_1780153331642.webm,0.5242883165478183,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,69e91fd1a613772e648e565a_audio_missing_utopia_1780153851261_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,69e91fd1a613772e648e565a_audio_missing_utopia_1780153851261.webm,0.5752957006014106,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,69e91fd1a613772e648e565a_audio_ranking_explanation_1780153689923_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,69e91fd1a613772e648e565a_audio_ranking_explanation_1780153689923.webm,0.435428529420163,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,69fe9e67a20599144f688b50_audio_missing_utopia_1780153147993_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,69fe9e67a20599144f688b50_audio_missing_utopia_1780153147993.webm,0.6139463073699977,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,69fe9e67a20599144f688b50_audio_ranking_explanation_1780153014058_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,69fe9e67a20599144f688b50_audio_ranking_explanation_1780153014058.webm,0.526624272691234,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6a08b810d807f5805aabe02e_audio_missing_utopia_1780152771053_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,6a08b810d807f5805aabe02e_audio_missing_utopia_1780152771053.webm,0.661596558975606,Different
59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703_transcript,6a08b810d807f5805aabe02e_audio_ranking_explanation_1780152676536_transcript,59a07638bfd73c00010ea394_audio_missing_utopia_1780152365703.webm,6a08b810d807f5805aabe02e_audio_ranking_explanation_1780152676536.webm,0.5776429172128253,Different
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465_transcript,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,63d7b1a77e23b5460ab88069_audio_missing_utopia_1780152859465.webm,0.41823987849689626,Different
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144_transcript,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,63d7b1a77e23b5460ab88069_audio_ranking_explanation_1780152809144.webm,0.7968809558363539,Similar
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804_transcript,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,67103e4ed56cde03a0f2476b_audio_missing_utopia_1780152799804.webm,0.5993241390305573,Different
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284_transcript,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,67103e4ed56cde03a0f2476b_audio_ranking_explanation_1780152764284.webm,0.7438132548350882,Similar
59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767_transcript,673e5fc42cbf961c153d09d3_audio_missing_utopia_1780154055552_transcript,59a07638bfd73c00010ea394_audio_ranking_explanation_1780152318767.webm,673e5fc42cbf961c153d09d3_audio_missing_utopia_1780154055552.webm,0.5172918667322647,Different
